City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
281,Monrovia,LR,78.57,broken clouds,6.3005,-10.7969,Sunset Inn
291,Tubmanburg,LR,75.63,broken clouds,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
294,Todos Santos,MX,79.02,clear sky,23.45,-110.2167,Hotel California Todos Santos
295,Inongo,CD,76.12,overcast clouds,-1.95,18.2667,Hotel Du Lac
298,Omboue,GA,78.51,overcast clouds,-1.5746,9.2618,Hotel Olako
305,Mogadishu,SO,77.07,few clouds,2.0371,45.3438,Hotel Juba
311,Lompoc,US,72.09,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
312,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
317,Port Blair,IN,75.79,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
338,Rio Grande,BR,73.94,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
342,La Palma,US,71.02,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
344,Marovoay,MG,78.94,light rain,-16.1,46.6333,Hôtel les Oliviers Marovoay
348,Benguela,AO,77.58,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
354,Richards Bay,ZA,71.85,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
360,Inhambane,MZ,76.15,overcast clouds,-23.865,35.3833,Oceano
362,San Cristobal,VE,77.18,few clouds,7.7669,-72.225,Posada Villaven C.A.
365,Ballitoville,ZA,71.24,broken clouds,-29.539,31.2144,Hampshire Hotel-Ballito
370,Kwinana,AU,76.8,few clouds,-32.25,115.7667,Rockingham Apartments
372,Bowen,AU,78.82,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
375,Jiwani,PK,71.87,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
376,Chuy,UY,71.42,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
377,Vila Do Maio,CV,70.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
380,Itaituba,BR,71.71,moderate rain,-4.2761,-55.9836,Hotel Campos
391,Attingal,IN,76.68,broken clouds,8.6833,76.8333,Government Guest House
398,Meulaboh,ID,77.02,broken clouds,4.1363,96.1285,Kost Pria
400,Panubigan,PH,77.68,overcast clouds,7.4281,123.3466,Parish Beach
402,Bubaque,GW,78.44,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
406,Eravur,LK,76.03,few clouds,7.7733,81.6095,Farhan KING House
411,Yeppoon,AU,76.78,overcast clouds,-23.1333,150.7333,Villa Mar Colina
418,Yulara,AU,76.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
420,Mayumba,GA,77.41,broken clouds,-3.432,10.6554,LIKWALE LODGE
430,Owando,CG,73.87,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
434,Sungairaya,ID,76.03,overcast clouds,0.7,108.9,Mess P.Milu
441,Sur,OM,70.9,clear sky,22.5667,59.5289,Sur Plaza Hotel
442,Lucea,JM,78.66,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
451,Palu,ID,74.79,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
454,Metro,ID,74.55,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
455,Dennery,LC,78.93,scattered clouds,13.8996,-60.8879,The Fox Grove Inn
458,Luanda,AO,78.37,overcast clouds,-8.8368,13.2343,Hotel Fórum
465,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
471,Sotouboua,TG,77.65,broken clouds,8.5667,0.9833,Auberge Médina
476,Hualmay,PE,73.09,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
480,Turan,VN,75.18,broken clouds,16.0678,108.2208,Sun River Hotel
489,Carmen,MX,71.64,mist,18.6333,-91.8333,Hotel Lossandes
490,Utete,TZ,72.25,overcast clouds,-7.986,38.758,River View Lodge
498,Manakara,MG,74.68,scattered clouds,-22.1333,48.0167,La Residence Manakara
499,Labuan,MY,77.36,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
504,Lambarene,GA,77.2,overcast clouds,-0.7001,10.2406,Le Refuge
511,Takoradi,GH,79.75,clear sky,4.8845,-1.7554,Raybow International Hotel
514,Bandrele,YT,76.75,clear sky,-12.9067,45.1914,Les Baobabs
517,Santa Maria Do Para,BR,71.33,overcast clouds,-1.3503,-47.5756,Shopping Motel (Adults Only)
520,Sinnamary,GF,77.0,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
521,Santa Maria,BR,76.3,few clouds,-29.6842,-53.8069,Hotel Morotin
525,Uaua,BR,72.14,overcast clouds,-9.8414,-39.4817,Hotel Uauá
526,Saint-Joseph,RE,75.56,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
531,Caravelas,BR,78.82,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
532,Doembang Nangbuat,TH,75.06,scattered clouds,14.8333,100.1,ธาราริน วิลล่า
534,Chabahar,IR,71.56,clear sky,25.2919,60.643,هتل گدروشیا
542,Christchurch,NZ,75.33,overcast clouds,-43.5333,172.6333,The George
545,Camana,PE,72.54,broken clouds,-16.6228,-72.7111,Hostal Morales
550,Santa Isabel Do Rio Negro,BR,78.48,overcast clouds,-0.4139,-65.0192,Hotel GSA
554,Puerto Maldonado,PE,76.82,overcast clouds,-12.6,-69.1833,Wasai Hotel
556,Mabaruma,GY,74.37,few clouds,8.2,-59.7833,Monty Brooms Guest House
559,Gladstone,AU,78.73,broken clouds,-23.85,151.25,Highpoint International Hotel
560,Feijo,BR,77.0,heavy intensity rain,-8.1642,-70.3536,Hotel e Restaurante Aҫai
574,Humaita,BR,72.77,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
578,Kalmunai,LK,75.94,few clouds,7.4167,81.8167,VS Villa
584,Byron Bay,AU,78.87,broken clouds,-28.65,153.6167,Backpackers Inn
585,Belmonte,BR,79.3,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
587,Tha Chang,TH,75.22,few clouds,9.2642,99.1922,สุริยาค้าไม้
588,Nong Chik,TH,72.12,clear sky,6.8436,101.178,Bakkahland Farm and Resort
591,San Policarpo,PH,77.0,scattered clouds,12.1791,125.5072,Agapita M. Nicart
592,Gigmoto,PH,78.35,scattered clouds,13.7796,124.39,Cj's Travellers Inn
593,Chimbote,PE,73.85,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
596,Hambantota,LK,77.95,broken clouds,6.1241,81.1185,Bungalow 63
599,Sambava,MG,75.34,scattered clouds,-14.2667,50.1667,Melrose
604,Bosaso,SO,71.73,overcast clouds,11.2842,49.1816,Red Sea Hotel
607,Kisangani,CD,70.97,clear sky,0.5167,25.2,Grand Ramela Hotel
608,Kimbe,PG,79.7,light rain,-5.5502,150.1429,Kimbe Bay Hotel
609,Daru,PG,78.73,moderate rain,-9.0763,143.2092,Daru Lodge
618,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
624,Pangkalanbuun,ID,75.43,light rain,-2.6833,111.6167,Grand Kecubung Hotel
625,Ormara,PK,70.75,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
626,Gurupi,BR,72.36,overcast clouds,-11.7292,-49.0686,Via Norte Hotel
628,Santa Gertrudes,BR,72.7,light rain,-22.4567,-47.5303,Cretta Executive Hotel
633,Jacareacanga,BR,72.82,light rain,-6.2222,-57.7528,Casa do Ian😎
637,Valparaiso,CL,71.83,few clouds,-33.0393,-71.6273,Hotel Ultramar
643,Mildura,AU,73.36,clear sky,-34.2,142.15,Mercure Hotel Mildura
644,Huarmey,PE,73.81,scattered clouds,-10.0681,-78.1522,Hotel Miramar
648,Pontianak,ID,76.98,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
652,Niquero,CU,77.74,clear sky,20.0431,-77.5828,Islazul Niquero
654,Iseyin,NG,79.2,overcast clouds,7.9667,3.6,Momak Hotels And Suites
659,Charters Towers,AU,76.17,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
660,Tairua,NZ,73.09,clear sky,-37.0167,175.85,Pacific Harbour Villas
663,Bandarbeyla,SO,75.76,overcast clouds,9.4942,50.8122,JABIR HOTEL
673,Kloulklubed,PW,75.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
674,Rocha,UY,71.4,clear sky,-34.4833,-54.3333,Hotel Arrarte
677,Miraflores,MX,71.02,clear sky,19.2167,-98.8083,Hotel Mansión
685,Barranca,PE,71.89,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
687,Hobyo,SO,76.57,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
695,Brokopondo,SR,78.12,broken clouds,4.75,-55.1667,Matu Island
697,Srandakan,ID,77.18,overcast clouds,-7.9386,110.2506,Puri Brata
699,Vao,NC,78.87,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
701,Camocim,BR,77.59,light rain,-2.9022,-40.8411,Ilha Praia Hotel
703,Diamantino,BR,74.03,overcast clouds,-14.4086,-56.4461,Hotel Delta
704,Harper,LR,79.88,broken clouds,4.375,-7.7169,Screensaver
705,Alugan,PH,76.55,scattered clouds,12.2188,125.4808,JM Lodge
715,Linhares,BR,77.97,overcast clouds,-19.3911,-40.0722,Hotel Conceição
